src_packets,dst_packets,src_bytes,dst_bytes,flow_duration,total_packets,packet_ratio,total_bytes,byte_ratio,bytes_per_packet,src_inter_packet_avg,dst_inter_packet_avg,src_packet_rate,dst_packet_rate,src_byte_rate,dst_byte_rate,src_bytes_max,dst_bytes_max,src_bytes_min,dst_bytes_min,src_bytes_avg,dst_bytes_avg,src_load,dst_load,src_payload_sum,dst_payload_sum,src_payload_avg,dst_payload_avg,src_ack_rate,dst_ack_rate,src_syn_rate,dst_syn_rate,src_fin_rate,dst_fin_rate,src_rst_rate,dst_rst_rate,src_psh_rate,dst_psh_rate,src_urg_rate,dst_urg_rate,src_ttl,dst_ttl,src_win_size,dst_win_size,src_fragment_rate,dst_fragment_rate,src_ack_delay,dst_ack_delay,syn_ack_imbalance,packet_size_anomaly,reset_rate_total,traffic_symmetry
9,17,585,992,0.499994,26,0.5,1577,0.5891238670694864,58.407407407407405,0.0624316334724426,0.0312246829271316,18.00021600259203,34.00040800489606,1170.014040168482,1984.0238082856995,65.0,64.0,65.0,52.0,65.0,58.353,9360.115,15872.195,117,108,13.0,6.353,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.529,0.0,0.0,64.0,64.0,509.0,502.0,0.0,0.0,0.000219,0.031154,-1.0,4.114386655221303,0.0,0.7037037037037037
9,19,585,1108,0.499974,28,0.45,1693,0.527502254283138,58.37931034482759,0.0624604821205139,0.02777628103892,18.000936048674532,38.00197610275735,1170.0608431638445,2216.1152379923756,65.0,64.0,65.0,52.0,65.0,58.316,9360.486,17728.92,117,120,13.0,6.316,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.526,0.0,0.0,64.0,64.0,509.0,502.0,0.0,0.0,0.000126,0.027727,-1.0,4.114386655221303,0.0,0.6551724137931034
20,15,1187,933,0.45298,35,1.25,2120,1.2708779443254818,58.888888888888886,0.0238333626797324,0.0291189295904976,44.152059693584704,33.11404477018853,2620.424742814252,2059.6935847057266,65.0,65.0,52.0,52.0,59.35,62.2,20963.405,16477.554,147,153,7.35,10.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.0,0.0,64.0,64.0,503.05,506.2,0.0,0.0,0.023117,0.030055,-1.0,2.138196179030828,0.0,0.8611111111111112
21,15,1239,933,0.402184,36,1.3125,2172,1.3265524625267666,58.7027027027027,0.0200171470642089,0.0287225587027413,52.214906609909896,37.29636186422135,3080.6794899846836,2319.833707954568,65.0,65.0,52.0,52.0,59.0,62.2,24645.447,18558.678,147,153,7.0,10.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,64.0,64.0,503.0,506.2,0.0,0.0,0.02018,0.02853,-1.0,1.9325684734031228,0.0,0.8378378378378378
15,31,975,1792,0.497307,46,0.46875,2767,0.5437813720022309,58.87234042553192,0.0355078492845807,0.016576862335205,30.162454982535937,62.33574029724094,1960.559573864836,3603.4079552469602,65.0,64.0,65.0,52.0,65.0,57.806,15684.481,28827.271,195,180,13.0,5.806,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.484,0.0,0.0,64.0,64.0,509.0,502.0,0.0,0.0,9.4e-05,0.017102,-1.0,6.551886655221303,0.0,0.6595744680851063
6,11,390,632,0.496877,17,0.5,1022,0.6161137440758294,56.77777777777778,0.099373197555542,0.0496868133544921,12.075423092636608,22.13827566983378,784.9025010213795,1271.9445657577228,65.0,64.0,65.0,52.0,65.0,57.455,6279.22,10175.556,78,60,13.0,5.455,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.455,0.0,0.0,64.0,64.0,509.0,502.0,0.0,0.0,0.000116,0.045123,-1.0,1.328672369507018,0.0,0.7222222222222222
21,15,1239,933,0.401795,36,1.3125,2172,1.3265524625267666,58.7027027027027,0.0200896978378295,0.0286682162966047,52.26545875384213,37.332470538458665,3083.6620664766856,2322.079667492129,65.0,65.0,52.0,52.0,59.0,62.2,24669.299,18576.639,147,153,7.0,10.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,64.0,64.0,503.0,506.2,0.0,0.0,0.022734,0.028224,-1.0,1.9325684734031228,0.0,0.8378378378378378
8,16,520,928,0.00198,24,0.47058823529411764,1448,0.5597416576964478,57.92,0.0002635887690952,0.0001319408416748,4040.4040404040406,8080.808080808081,262626.2626262626,468686.8686868687,65.0,64.0,65.0,52.0,65.0,58.0,2100890.599,3749281.685,104,96,13.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,64.0,64.0,509.0,502.0,0.0,0.0,7.1e-05,0.0001,-1.0,3.392164432999081,0.0,0.6799999999999999
5,10,325,580,0.004319,15,0.45454545454545453,905,0.5593803786574871,56.5625,0.0010547637939453,0.000479777654012,1157.6753878212548,2315.3507756425097,75248.90020838157,134290.34498726556,65.0,64.0,65.0,52.0,65.0,58.0,601991.357,1074323.037,65,60,13.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,64.0,64.0,509.0,502.0,0.0,0.0,9.8e-05,0.000437,-1.0,0.21894667811203306,0.0,0.6875
21,15,1239,933,0.413542,36,1.3125,2172,1.3265524625267666,58.7027027027027,0.0205420494079589,0.0295369284493582,50.78081549153411,36.272011065381506,2996.0681140005127,2256.1190882667297,65.0,65.0,52.0,52.0,59.0,62.2,23968.54,18048.949,147,153,7.0,10.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,64.0,64.0,503.0,506.2,0.0,0.0,0.020186,0.028284,-1.0,1.9325684734031228,0.0,0.8378378378378378
