sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,IT_B_Label,IT_M_Label,NST_B_Label,NST_M_Label,time, current_loop, loop_latency, logic_execution_time, tank_input_valve_status(0), tank_input_valve_mode(1), tank_level_value(2), tank_level_min(3), tank_level_max(4), tank_output_valve_status(5), tank_output_valve_mode(6), tank_output_flow_value(7), , conveyor_belt_engine_status(8), conveyor_belt_engine_mode(9), bottle_level_value(10), bottle_level_max(11), bottle_distance_to_filler_value(12)
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2022-09-16 11:14:39.510337,2022-09-16 11:14:40.010330,1663319679.510337,1663319680.01033,0.0,0.499993,0.499994,9.0,17.0,585.0,992.0,65.0,64.0,65.0,52.0,65.0,58.353,9360.115,15872.195,117.0,108.0,13.0,12.0,13.0,0.0,13.0,6.353,0.0624316334724426,0.0312246829271316,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.529,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.497,0.0,0.0,0.000219,0.031154,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2022-09-16 11:14:39.513421,2022-09-16 11:14:40.013394,1663319679.513421,1663319680.013394,0.003084,0.503057,0.499974,9.0,19.0,585.0,1108.0,65.0,64.0,65.0,52.0,65.0,58.316,9360.486,17728.92,117.0,120.0,13.0,12.0,13.0,0.0,13.0,6.316,0.0624604821205139,0.02777628103892,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.526,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.0,0.497,0.0,0.0,0.000126,0.027727,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2022-09-16 11:14:39.601160,2022-09-16 11:14:40.054139,1663319679.60116,1663319680.054139,0.090823,0.543802,0.45298,20.0,15.0,1187.0,933.0,65.0,65.0,52.0,52.0,59.35,62.2,20963.405,16477.554,147.0,153.0,13.0,13.0,0.0,0.0,7.35,10.2,0.0238333626797324,0.0291189295904976,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,503.05,506.2,0.0,0.0,0.198,0.2,0.0,0.0,0.023117,0.030055,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2022-09-16 11:14:40.200719,2022-09-16 11:14:40.602902,1663319680.200719,1663319680.602902,0.690382,1.092565,0.402184,21.0,15.0,1239.0,933.0,65.0,65.0,52.0,52.0,59.0,62.2,24645.447,18558.678,147.0,153.0,13.0,13.0,0.0,0.0,7.0,10.2,0.0200171470642089,0.0287225587027413,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,0.0,503.0,506.2,0.0,0.0,0.197,0.2,0.0,0.0,0.02018,0.02853,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2022-09-16 11:14:40.010348,2022-09-16 11:14:40.507654,1663319680.010348,1663319680.507654,0.500011,0.997317,0.497307,15.0,31.0,975.0,1792.0,65.0,64.0,65.0,52.0,65.0,57.806,15684.481,28827.271,195.0,180.0,13.0,12.0,13.0,0.0,13.0,5.806,0.0355078492845807,0.016576862335205,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.484,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.0,0.493,0.0,0.0,9.4e-05,0.017102,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2022-09-16 11:14:40.013451,2022-09-16 11:14:40.510327,1663319680.013451,1663319680.510327,0.503114,0.99999,0.496877,6.0,11.0,390.0,632.0,65.0,64.0,65.0,52.0,65.0,57.455,6279.22,10175.556,78.0,60.0,13.0,12.0,13.0,0.0,13.0,5.455,0.099373197555542,0.0496868133544921,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.455,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.0,0.495,0.0,0.0,0.000116,0.045123,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2022-09-16 11:14:40.800530,2022-09-16 11:14:41.202324,1663319680.80053,1663319681.202324,1.290193,1.691987,0.401795,21.0,15.0,1239.0,933.0,65.0,65.0,52.0,52.0,59.0,62.2,24669.299,18576.639,147.0,153.0,13.0,13.0,0.0,0.0,7.0,10.2,0.0200896978378295,0.0286682162966047,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,0.0,503.0,506.2,0.0,0.0,0.203,0.196,0.0,0.0,0.022734,0.028224,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.21,02:42:c0:a8:00:0b,02:42:c0:a8:00:15,192.168.0.11,192.168.0.21,IPV4-TCP,2022-09-16 11:14:41.007381,2022-09-16 11:14:41.009360,1663319681.007381,1663319681.00936,1.497044,1.499023,0.00198,8.0,16.0,520.0,928.0,65.0,64.0,65.0,52.0,65.0,58.0,2100890.599,3749281.685,104.0,96.0,13.0,12.0,13.0,0.0,13.0,6.0,0.0002635887690952,0.0001319408416748,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.0,0.001,0.0,0.0,7.1e-05,0.0001,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.12,192.168.0.21,02:42:c0:a8:00:0c,02:42:c0:a8:00:15,192.168.0.12,192.168.0.21,IPV4-TCP,2022-09-16 11:14:41.009415,2022-09-16 11:14:41.013733,1663319681.009415,1663319681.013733,1.499078,1.503396,0.004319,5.0,10.0,325.0,580.0,65.0,64.0,65.0,52.0,65.0,58.0,601991.357,1074323.037,65.0,60.0,13.0,12.0,13.0,0.0,13.0,6.0,0.0010547637939453,0.000479777654012,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.0,0.003,0.0,0.0,9.8e-05,0.000437,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
192.168.0.11,192.168.0.12,02:42:c0:a8:00:0b,02:42:c0:a8:00:0c,192.168.0.11,192.168.0.12,IPV4-TCP,2022-09-16 11:14:41.400666,2022-09-16 11:14:41.814207,1663319681.400666,1663319681.814207,1.890329,2.30387,0.413542,21.0,15.0,1239.0,933.0,65.0,65.0,52.0,52.0,59.0,62.2,23968.54,18048.949,147.0,153.0,13.0,13.0,0.0,0.0,7.0,10.2,0.0205420494079589,0.0295369284493582,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,0.0,503.0,506.2,0.0,0.0,0.206,0.197,0.0,0.0,0.020186,0.028284,0.0,Normal,0.0,Normal,,,,,,,,,,,,,,,,,,
