time, current_loop, loop_latency, logic_execution_time, tank_input_valve_status(0), tank_input_valve_mode(1), tank_level_value(2), tank_level_min(3), tank_level_max(4), tank_output_valve_status(5), tank_output_valve_mode(6), tank_output_flow_value(7), 
2022-09-16 11:14:37.646518, 1663319677600, 0, 44, 1.0, 3.0, 5.813333333333333, 3.0, 7.0, 1.0, 3.0, 0.0, 
2022-09-16 11:14:37.816768, 1663319677800, 1, 2, 1.0, 3.0, 5.819999999999998, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2022-09-16 11:14:38.014859, 1663319678000, 0, 3, 1.0, 3.0, 5.8266666666666636, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2022-09-16 11:14:38.226958, 1663319678200, 4, 12, 1.0, 3.0, 5.833333333333329, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2022-09-16 11:14:38.411114, 1663319678400, 1, 8, 1.0, 3.0, 5.836666666666662, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2022-09-16 11:14:38.620599, 1663319678600, 1, 18, 1.0, 3.0, 5.843333333333327, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2022-09-16 11:14:38.820282, 1663319678800, 9, 9, 1.0, 3.0, 5.853333333333325, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2022-09-16 11:14:39.036122, 1663319679000, 0, 30, 1.0, 3.0, 5.85999999999999, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2022-09-16 11:14:39.225443, 1663319679200, 0, 22, 1.0, 3.0, 5.866666666666656, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2022-09-16 11:14:39.416041, 1663319679400, 5, 9, 1.0, 3.0, 5.873333333333321, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2022-09-16 11:14:39.634086, 1663319679600, 1, 30, 1.0, 3.0, 5.879999999999986, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2022-09-16 11:14:39.808914, 1663319679800, 1, 6, 1.0, 3.0, 5.886666666666652, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2022-09-16 11:14:40.020335, 1663319680000, 1, 17, 1.0, 3.0, 5.893333333333317, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2022-09-16 11:14:40.218468, 1663319680200, 3, 4, 1.0, 3.0, 5.899999999999982, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2022-09-16 11:14:40.410601, 1663319680400, 1, 6, 1.0, 3.0, 5.903333333333315, 3.0, 7.0, 1.0, 3.0, 0.0001, 
